PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,age_group
1,0,3,male,22,1,0,7.25,Southampton,1,20-29
2,1,1,female,38,1,0,71.2833,Cherbourg,1,30-39
3,1,3,female,26,0,0,7.925,Southampton,0,20-29
4,1,1,female,35,1,0,53.1,Southampton,1,30-39
5,0,3,male,35,0,0,8.05,Southampton,0,30-39
6,0,3,male,26.50758893,0,0,8.4583,Queenstown,0,20-29
7,0,1,male,54,0,0,51.8625,Southampton,0,50-59
8,0,3,male,2,3,1,21.075,Southampton,4,0-9
9,1,3,female,27,0,2,11.1333,Southampton,2,20-29
10,1,2,female,14,1,0,30.0708,Cherbourg,1,19-Oct
11,1,3,female,4,1,1,16.7,Southampton,2,0-9
12,1,1,female,58,0,0,26.55,Southampton,0,50-59
13,0,3,male,20,0,0,8.05,Southampton,0,20-29
14,0,3,male,39,1,5,31.275,Southampton,6,30-39
15,0,3,female,14,0,0,7.8542,Southampton,0,19-Oct
16,1,2,female,55,0,0,16,Southampton,0,50-59
17,0,3,male,2,4,1,29.125,Queenstown,5,0-9
18,1,2,male,30.74070707,0,0,13,Southampton,0,30-39
19,0,3,female,31,1,0,18,Southampton,1,30-39
20,1,3,female,21.75,0,0,7.225,Cherbourg,0,20-29
21,0,2,male,35,0,0,26,Southampton,0,30-39
22,1,2,male,34,0,0,13,Southampton,0,30-39
23,1,3,female,15,0,0,8.0292,Queenstown,0,19-Oct
24,1,1,male,28,0,0,35.5,Southampton,0,20-29
25,0,3,female,8,3,1,21.075,Southampton,4,0-9
26,1,3,female,38,1,5,31.3875,Southampton,6,30-39
27,0,3,male,26.50758893,0,0,7.225,Cherbourg,0,20-29
28,0,1,male,19,3,2,263,Southampton,5,19-Oct
29,1,3,female,21.75,0,0,7.8792,Queenstown,0,20-29
30,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
31,0,1,male,40,0,0,27.7208,Cherbourg,0,40-49
32,1,1,female,34.61176471,1,0,146.5208,Cherbourg,1,30-39
